#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Thyroid hormone signaling pathway	KEGG PATHWAY	hsa04919	11	121	0.152942019	0.45042265	THRB|MED12L|BMP4|RCAN2|DIO3|WNT4|ITGB3|FOXO1|CCND1|PLCB1|DIO2	http://www.genome.jp/kegg-bin/show_pathway?hsa04919/hsa:116931%09red/hsa:652%09red/hsa:7068%09red/hsa:595%09red/hsa:23236%09red/hsa:3690%09red/hsa:1735%09red/hsa:1734%09red/hsa:10231%09red/hsa:54361%09red/hsa:2308%09red
Central carbon metabolism in cancer	KEGG PATHWAY	hsa05230	7	69	0.157669176	0.455393318	EGFR|MET|KIT|PDGFRB|NTRK1|PDK1|FGFR2	http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:4914%09red/hsa:3815%09red/hsa:4233%09red/hsa:5159%09red/hsa:1956%09red/hsa:2263%09red/hsa:5163%09red
Taste transduction	KEGG PATHWAY	hsa04742	8	82	0.158028278	0.455393318	PDE1A|CACNA1A|GABRA5|ASIC2|P2RY1|SCN2A|SCN3A|TAS2R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04742/hsa:773%09red/hsa:5028%09red/hsa:5136%09red/hsa:2558%09red/hsa:6326%09red/hsa:40%09red/hsa:6328%09red/hsa:50834%09red
Apoptosis - multiple species	KEGG PATHWAY	hsa04215	4	33	0.169965312	0.48078221	BIRC3|SEPT4|NGFR|BIRC5	http://www.genome.jp/kegg-bin/show_pathway?hsa04215/hsa:332%09red/hsa:4804%09red/hsa:330%09red/hsa:5414%09red
Non-small cell lung cancer	KEGG PATHWAY	hsa05223	6	58	0.172220493	0.48078221	EGFR|RASSF5|CCND1|E2F2|E2F1|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa05223/hsa:595%09red/hsa:1870%09red/hsa:1950%09red/hsa:1956%09red/hsa:1869%09red/hsa:83593%09red
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	6	58	0.172220493	0.48078221	ADRB2|PTGS1|PTGS2|TSHR|PLA2G16|PTGER3	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:7253%09red/hsa:5742%09red/hsa:5743%09red/hsa:154%09red/hsa:5733%09red/hsa:11145%09red
Acute myeloid leukemia	KEGG PATHWAY	hsa05221	6	59	0.181010548	0.500111618	KIT|CEBPA|JUP|CCND1|PIM1|TCF7	http://www.genome.jp/kegg-bin/show_pathway?hsa05221/hsa:3728%09red/hsa:3815%09red/hsa:595%09red/hsa:1050%09red/hsa:6932%09red/hsa:5292%09red
Estrogen signaling pathway	KEGG PATHWAY	hsa04915	9	101	0.197269668	0.539472152	EGFR|SHC3|GNAO1|HSPA2|HBEGF|SHC2|FOS|PLCB1|HSPA6	http://www.genome.jp/kegg-bin/show_pathway?hsa04915/hsa:2353%09red/hsa:1839%09red/hsa:2775%09red/hsa:3306%09red/hsa:25759%09red/hsa:23236%09red/hsa:3310%09red/hsa:1956%09red/hsa:53358%09red
Chronic myeloid leukemia	KEGG PATHWAY	hsa05220	7	75	0.205573842	0.556502927	SHC3|TGFB2|CCND1|E2F2|E2F1|SHC2|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05220/hsa:595%09red/hsa:25759%09red/hsa:53358%09red/hsa:1870%09red/hsa:7043%09red/hsa:7042%09red/hsa:1869%09red
Oxytocin signaling pathway	KEGG PATHWAY	hsa04921	13	160	0.217096347	0.572291991	EGFR|GNAO1|GUCY1A2|CCND1|NFATC2|PTGS2|CACNB4|FOS|PLCB1|OXTR|CAMK4|KCNJ12|PPP1R12A	http://www.genome.jp/kegg-bin/show_pathway?hsa04921/hsa:5021%09red/hsa:785%09red/hsa:4659%09red/hsa:2775%09red/hsa:5743%09red/hsa:595%09red/hsa:2977%09red/hsa:23236%09red/hsa:4773%09red/hsa:3768%09red/hsa:1956%09red/hsa:2353%09red/hsa:814%09red
ErbB signaling pathway	KEGG PATHWAY	hsa04012	8	90	0.217247565	0.572291991	EGFR|SHC3|BUB1B-PAK6|HBEGF|ABL2|SHC2|EREG|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:1839%09red/hsa:27%09red/hsa:25759%09red/hsa:53358%09red/hsa:1950%09red/hsa:1956%09red/hsa:2069%09red/hsa:56924%09red
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	11	132	0.219104734	0.572291991	HIST1H3E|C1R|HIST1H2BD|C2|GRIN2A|HIST1H2AC|ELANE|C3|HIST1H2BK|HIST1H3D|C1S	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:1991%09red/hsa:8353%09red/hsa:8351%09red/hsa:718%09red/hsa:3017%09red/hsa:2903%09red/hsa:8334%09red/hsa:715%09red/hsa:85236%09red/hsa:717%09red/hsa:716%09red
Arginine and proline metabolism	KEGG PATHWAY	hsa00330	5	50	0.219948041	0.572291991	CKM|ODC1|SMS|MAOB|AGMAT	http://www.genome.jp/kegg-bin/show_pathway?hsa00330/hsa:6611%09red/hsa:79814%09red/hsa:4953%09red/hsa:4129%09red/hsa:1158%09red
Endocytosis	KEGG PATHWAY	hsa04144	20	264	0.23069022	0.594470952	KIT|IL2RB|MET|FOLR3|CAV1|EGFR|HLA-C|TGFB2|HSPA2|NTRK1|FGFR2|KDR|ADRB2|EGF|PSD4|SMURF2|HLA-F|HSPA6|KIF5A|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:4914%09red/hsa:7042%09red/hsa:23550%09red/hsa:3560%09red/hsa:3815%09red/hsa:3306%09red/hsa:154%09red/hsa:64750%09red/hsa:4233%09red/hsa:3310%09red/hsa:3791%09red/hsa:1950%09red/hsa:7043%09red/hsa:857%09red/hsa:2263%09red/hsa:3107%09red/hsa:2352%09red/hsa:3798%09red/hsa:1956%09red/hsa:3134%09red
Viral carcinogenesis	KEGG PATHWAY	hsa05203	16	207	0.238256121	0.598110237	RBL1|IRF7|HIST1H2BD|CCNE2|CHEK1|HLA-C|EGR2|CCND1|GTF2A1L|SCIN|CDC20|C3|HIST1H2BK|CDK1|CCNA2|HLA-F	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:3665%09red/hsa:983%09red/hsa:890%09red/hsa:1111%09red/hsa:9134%09red/hsa:595%09red/hsa:85477%09red/hsa:991%09red/hsa:1959%09red/hsa:718%09red/hsa:11036%09red/hsa:3017%09red/hsa:3107%09red/hsa:5933%09red/hsa:85236%09red/hsa:3134%09red
Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG PATHWAY	hsa00601	3	26	0.240770123	0.598110237	B3GNT5|ST8SIA1|B3GALT5	http://www.genome.jp/kegg-bin/show_pathway?hsa00601/hsa:10317%09red/hsa:6489%09red/hsa:84002%09red
Folate biosynthesis	KEGG PATHWAY	hsa00790	2	14	0.241029498	0.598110237	DHFR|ALPL	http://www.genome.jp/kegg-bin/show_pathway?hsa00790/hsa:1719%09red/hsa:249%09red
Glycosphingolipid biosynthesis - globo series	KEGG PATHWAY	hsa00603	2	14	0.241029498	0.598110237	ST8SIA1|B3GALT5	http://www.genome.jp/kegg-bin/show_pathway?hsa00603/hsa:10317%09red/hsa:6489%09red
Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	hsa04261	12	151	0.249925489	0.614495697	PPP2R2C|ACTC1|TPM1|AGTR1|CACNB4|ATP2B4|MYL3|ADRA1D|MYH7|SCN4B|PLCB1|ADRB2	http://www.genome.jp/kegg-bin/show_pathway?hsa04261/hsa:5522%09red/hsa:785%09red/hsa:185%09red/hsa:146%09red/hsa:154%09red/hsa:4634%09red/hsa:23236%09red/hsa:493%09red/hsa:4625%09red/hsa:7168%09red/hsa:70%09red/hsa:6330%09red
Vascular smooth muscle contraction	KEGG PATHWAY	hsa04270	10	123	0.254794573	0.620772232	AGTR1|KCNMB2|RAMP1|GUCY1A2|KCNMA1|ADRA1D|PLCB1|KCNMB4|PPP1R12A|PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa04270/hsa:5320%09red/hsa:10267%09red/hsa:4659%09red/hsa:146%09red/hsa:23236%09red/hsa:2977%09red/hsa:27345%09red/hsa:3778%09red/hsa:10242%09red/hsa:185%09red
"Glycine, serine and threonine metabolism"	KEGG PATHWAY	hsa00260	4	40	0.257252521	0.621114196	CHDH|AOC3|MAOB|GLDC	http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:8639%09red/hsa:55349%09red/hsa:4129%09red/hsa:2731%09red
Endometrial cancer	KEGG PATHWAY	hsa05213	5	54	0.264282476	0.63239021	EGFR|AXIN2|CCND1|EGF|TCF7	http://www.genome.jp/kegg-bin/show_pathway?hsa05213/hsa:1956%09red/hsa:595%09red/hsa:1950%09red/hsa:6932%09red/hsa:8313%09red
Hippo signaling pathway -multiple species	KEGG PATHWAY	hsa04392	3	28	0.272988557	0.641762573	RASSF4|WWC1|DCHS2	http://www.genome.jp/kegg-bin/show_pathway?hsa04392/hsa:23286%09red/hsa:83937%09red/hsa:54798%09red
Dorso-ventral axis formation	KEGG PATHWAY	hsa04320	3	28	0.272988557	0.641762573	EGFR|ETV7|PIWIL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04320/hsa:51513%09red/hsa:55124%09red/hsa:1956%09red
Herpes simplex infection	KEGG PATHWAY	hsa05168	14	185	0.280462191	0.653598845	IFIT1|IL12A|TNFRSF14|IRF7|CCL2|HLA-C|CDK1|C3|FOS|OAS1|IL6|PILRA|HLA-F|NOP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:3569%09red/hsa:3665%09red/hsa:983%09red/hsa:8764%09red/hsa:3592%09red/hsa:3434%09red/hsa:6347%09red/hsa:718%09red/hsa:4938%09red/hsa:29992%09red/hsa:29997%09red/hsa:3107%09red/hsa:2353%09red/hsa:3134%09red
Type I diabetes mellitus	KEGG PATHWAY	hsa04940	4	42	0.28370798	0.655463263	PTPRN|HLA-C|HLA-F|IL12A	http://www.genome.jp/kegg-bin/show_pathway?hsa04940/hsa:3107%09red/hsa:3592%09red/hsa:5798%09red/hsa:3134%09red
cAMP signaling pathway	KEGG PATHWAY	hsa04024	15	201	0.287800257	0.656981907	DRD1|GIPR|TIAM1|GRIN2A|ATP2B4|GRIA1|SUCNR1|ADRB2|FXYD1|FOS|TSHR|OXTR|CAMK4|PPP1R12A|PTGER3	http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:1812%09red/hsa:7253%09red/hsa:56670%09red/hsa:5348%09red/hsa:4659%09red/hsa:814%09red/hsa:154%09red/hsa:7074%09red/hsa:2890%09red/hsa:493%09red/hsa:2696%09red/hsa:5733%09red/hsa:2353%09red/hsa:5021%09red/hsa:2903%09red
Thyroid cancer	KEGG PATHWAY	hsa05216	3	29	0.289268153	0.656981907	NTRK1|CCND1|TCF7	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:4914%09red/hsa:595%09red/hsa:6932%09red
Dopaminergic synapse	KEGG PATHWAY	hsa04728	10	129	0.299601112	0.674731916	DRD1|CACNA1A|GNAO1|GRIN2A|GRIA1|PPP2R2C|MAOB|FOS|PLCB1|KIF5A	http://www.genome.jp/kegg-bin/show_pathway?hsa04728/hsa:1812%09red/hsa:773%09red/hsa:2353%09red/hsa:2775%09red/hsa:23236%09red/hsa:2890%09red/hsa:5522%09red/hsa:3798%09red/hsa:4129%09red/hsa:2903%09red
Salmonella infection	KEGG PATHWAY	hsa05132	7	86	0.304631212	0.675981384	CD14|CXCL8|FLNC|TLR5|TLR4|FOS|IL6	http://www.genome.jp/kegg-bin/show_pathway?hsa05132/hsa:3569%09red/hsa:7100%09red/hsa:2353%09red/hsa:7099%09red/hsa:3576%09red/hsa:929%09red/hsa:2318%09red
Natural killer cell mediated cytotoxicity	KEGG PATHWAY	hsa04650	10	130	0.307263543	0.675981384	SHC3|ICAM1|ITGB2|RAET1E|HLA-C|TNFSF10|NFATC2|TNFRSF10A|SHC2|SH2D1A	http://www.genome.jp/kegg-bin/show_pathway?hsa04650/hsa:3689%09red/hsa:3383%09red/hsa:25759%09red/hsa:8797%09red/hsa:53358%09red/hsa:135250%09red/hsa:4068%09red/hsa:3107%09red/hsa:8743%09red/hsa:4773%09red
Phenylalanine metabolism	KEGG PATHWAY	hsa00360	2	17	0.307722869	0.675981384	AOC3|MAOB	http://www.genome.jp/kegg-bin/show_pathway?hsa00360/hsa:8639%09red/hsa:4129%09red
beta-Alanine metabolism	KEGG PATHWAY	hsa00410	3	31	0.321994989	0.699967089	AOC3|SMS|DPYS	http://www.genome.jp/kegg-bin/show_pathway?hsa00410/hsa:6611%09red/hsa:1807%09red/hsa:8639%09red
Pantothenate and CoA biosynthesis	KEGG PATHWAY	hsa00770	2	18	0.329765407	0.699967089	DPYS|ENPP1	http://www.genome.jp/kegg-bin/show_pathway?hsa00770/hsa:1807%09red/hsa:5167%09red
Osteoclast differentiation	KEGG PATHWAY	hsa04380	10	133	0.330514845	0.699967089	CTSK|TGFB2|FOSL1|ITGB3|NFATC2|CSF1|TNFRSF11B|FOS|JUNB|CAMK4	http://www.genome.jp/kegg-bin/show_pathway?hsa04380/hsa:1513%09red/hsa:1435%09red/hsa:3726%09red/hsa:814%09red/hsa:4982%09red/hsa:4773%09red/hsa:7042%09red/hsa:3690%09red/hsa:8061%09red/hsa:2353%09red
Steroid hormone biosynthesis	KEGG PATHWAY	hsa00140	5	60	0.333859844	0.699967089	AKR1C2|AKR1C3|CYP7B1|CYP21A2|SRD5A2	http://www.genome.jp/kegg-bin/show_pathway?hsa00140/hsa:1589%09red/hsa:6716%09red/hsa:9420%09red/hsa:8644%09red/hsa:1646%09red
Toxoplasmosis	KEGG PATHWAY	hsa05145	9	119	0.337498077	0.699967089	BIRC3|IL12A|GNAO1|TGFB2|HSPA2|HSPA6|TLR4|ITGA6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05145/hsa:2775%09red/hsa:7099%09red/hsa:3306%09red/hsa:3592%09red/hsa:3310%09red/hsa:7043%09red/hsa:7042%09red/hsa:330%09red/hsa:3655%09red
Drug metabolism - other enzymes	KEGG PATHWAY	hsa00983	4	46	0.337588741	0.699967089	CES1|TYMP|DPYS|TK1	http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:7083%09red/hsa:1807%09red/hsa:1066%09red/hsa:1890%09red
Nucleotide excision repair	KEGG PATHWAY	hsa03420	4	46	0.337588741	0.699967089	RFC4|RFC3|LIG1|POLE2	http://www.genome.jp/kegg-bin/show_pathway?hsa03420/hsa:5427%09red/hsa:5983%09red/hsa:5984%09red/hsa:3978%09red
Cardiac muscle contraction	KEGG PATHWAY	hsa04260	6	75	0.339536274	0.699967089	COX7A1|TPM1|CACNB4|MYL3|ACTC1|MYH7	http://www.genome.jp/kegg-bin/show_pathway?hsa04260/hsa:1346%09red/hsa:785%09red/hsa:4634%09red/hsa:4625%09red/hsa:7168%09red/hsa:70%09red
Salivary secretion	KEGG PATHWAY	hsa04970	7	90	0.342897734	0.700897879	ATP2B4|KCNMA1|ADRB2|ADRA1D|PLCB1|GUCY1A2|CST3	http://www.genome.jp/kegg-bin/show_pathway?hsa04970/hsa:146%09red/hsa:154%09red/hsa:23236%09red/hsa:2977%09red/hsa:493%09red/hsa:3778%09red/hsa:1471%09red
Vitamin B6 metabolism	KEGG PATHWAY	hsa00750	1	6	0.345218358	0.700897879	AOX1	http://www.genome.jp/kegg-bin/show_pathway?hsa00750/hsa:316%09red
Glycosaminoglycan degradation	KEGG PATHWAY	hsa00531	2	19	0.351606956	0.705126262	HPSE|HPSE2	http://www.genome.jp/kegg-bin/show_pathway?hsa00531/hsa:60495%09red/hsa:10855%09red
Morphine addiction	KEGG PATHWAY	hsa05032	7	91	0.352563131	0.705126262	PDE1A|DRD1|PDE8B|GABRA5|GNAO1|PDE10A|CACNA1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05032/hsa:1812%09red/hsa:773%09red/hsa:10846%09red/hsa:5136%09red/hsa:2775%09red/hsa:8622%09red/hsa:2558%09red
Steroid biosynthesis	KEGG PATHWAY	hsa00100	2	20	0.373195191	0.735414053	FAXDC2|TM7SF2	http://www.genome.jp/kegg-bin/show_pathway?hsa00100/hsa:7108%09red/hsa:10826%09red
One carbon pool by folate	KEGG PATHWAY	hsa00670	2	20	0.373195191	0.735414053	DHFR|TYMS	http://www.genome.jp/kegg-bin/show_pathway?hsa00670/hsa:1719%09red/hsa:7298%09red
VEGF signaling pathway	KEGG PATHWAY	hsa04370	5	64	0.381137308	0.745582471	KDR|NFATC2|SH2D2A|PTGS2|SHC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04370/hsa:5743%09red/hsa:3791%09red/hsa:25759%09red/hsa:9047%09red/hsa:4773%09red
Platelet activation	KEGG PATHWAY	hsa04611	9	125	0.387911266	0.753334922	ITGA2|P2RY12|TBXAS1|P2RY1|ITGB3|PTGS1|PLCB1|GUCY1A2|PPP1R12A	http://www.genome.jp/kegg-bin/show_pathway?hsa04611/hsa:64805%09red/hsa:5028%09red/hsa:4659%09red/hsa:3673%09red/hsa:5742%09red/hsa:23236%09red/hsa:2977%09red/hsa:3690%09red/hsa:6916%09red
Circadian entrainment	KEGG PATHWAY	hsa04713	7	95	0.391427148	0.754694069	GNAO1|GRIN2A|GRIA1|FOS|PLCB1|GUCY1A2|RASD1	http://www.genome.jp/kegg-bin/show_pathway?hsa04713/hsa:2775%09red/hsa:23236%09red/hsa:2977%09red/hsa:2890%09red/hsa:51655%09red/hsa:2353%09red/hsa:2903%09red
Bacterial invasion of epithelial cells	KEGG PATHWAY	hsa05100	6	81	0.403222402	0.75952833	SHC3|MET|CAV1|HCLS1|SEPT1|SHC2	http://www.genome.jp/kegg-bin/show_pathway?hsa05100/hsa:25759%09red/hsa:4233%09red/hsa:53358%09red/hsa:3059%09red/hsa:857%09red/hsa:1731%09red
Allograft rejection	KEGG PATHWAY	hsa05330	3	36	0.403382872	0.75952833	IL12A|HLA-C|HLA-F	http://www.genome.jp/kegg-bin/show_pathway?hsa05330/hsa:3107%09red/hsa:3592%09red/hsa:3134%09red
Amyotrophic lateral sclerosis (ALS)	KEGG PATHWAY	hsa05014	4	51	0.405270713	0.75952833	CASP12|GRIA1|NEFM|GRIN2A	http://www.genome.jp/kegg-bin/show_pathway?hsa05014/hsa:4741%09red/hsa:2903%09red/hsa:100506742%09red/hsa:2890%09red
Autoimmune thyroid disease	KEGG PATHWAY	hsa05320	4	51	0.405270713	0.75952833	TSHR|HLA-C|TG|HLA-F	http://www.genome.jp/kegg-bin/show_pathway?hsa05320/hsa:3107%09red/hsa:7253%09red/hsa:7038%09red/hsa:3134%09red
Chemical carcinogenesis	KEGG PATHWAY	hsa05204	6	82	0.413835015	0.763326002	AKR1C2|SULT1A1|ADH1B|ADH1C|EPHX1|PTGS2	http://www.genome.jp/kegg-bin/show_pathway?hsa05204/hsa:1646%09red/hsa:126%09red/hsa:2052%09red/hsa:5743%09red/hsa:6817%09red/hsa:125%09red
Serotonergic synapse	KEGG PATHWAY	hsa04726	8	113	0.416901432	0.763326002	CACNA1A|PTGS2|GNAO1|PTGS1|KCND2|MAOB|HTR7|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04726/hsa:773%09red/hsa:3751%09red/hsa:2775%09red/hsa:5742%09red/hsa:5743%09red/hsa:23236%09red/hsa:3363%09red/hsa:4129%09red
Influenza A	KEGG PATHWAY	hsa05164	12	175	0.417665451	0.763326002	IL12A|TNFSF10|ICAM1|CXCL8|CCL2|HSPA2|IRF7|TNFRSF10A|TLR4|OAS1|IL6|HSPA6	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:3569%09red/hsa:3665%09red/hsa:3383%09red/hsa:7099%09red/hsa:3306%09red/hsa:3592%09red/hsa:3576%09red/hsa:3310%09red/hsa:6347%09red/hsa:4938%09red/hsa:8743%09red/hsa:8797%09red
Lysine degradation	KEGG PATHWAY	hsa00310	4	52	0.418690008	0.763326002	NSD2|SUV39H1|SETD2|BBOX1	http://www.genome.jp/kegg-bin/show_pathway?hsa00310/hsa:6839%09red/hsa:7468%09red/hsa:8424%09red/hsa:29072%09red
Epithelial cell signaling in Helicobacter pylori infection	KEGG PATHWAY	hsa05120	5	68	0.428283513	0.768764177	HBEGF|JAM2|EGFR|MET|CXCL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05120/hsa:58494%09red/hsa:1956%09red/hsa:1839%09red/hsa:4233%09red/hsa:3576%09red
Glutamatergic synapse	KEGG PATHWAY	hsa04724	8	115	0.434935826	0.768764177	CACNA1A|GNAO1|GRIN2A|SLC17A7|GRIA1|SLC1A3|PLCB1|SLC1A7	http://www.genome.jp/kegg-bin/show_pathway?hsa04724/hsa:773%09red/hsa:57030%09red/hsa:2775%09red/hsa:6512%09red/hsa:6507%09red/hsa:23236%09red/hsa:2890%09red/hsa:2903%09red
Graft-versus-host disease	KEGG PATHWAY	hsa05332	3	38	0.435226959	0.768764177	IL6|HLA-F|HLA-C	http://www.genome.jp/kegg-bin/show_pathway?hsa05332/hsa:3569%09red/hsa:3134%09red/hsa:3107%09red
Biosynthesis of unsaturated fatty acids	KEGG PATHWAY	hsa01040	2	23	0.436015504	0.768764177	ELOVL2|ACOT7	http://www.genome.jp/kegg-bin/show_pathway?hsa01040/hsa:11332%09red/hsa:54898%09red
Proximal tubule bicarbonate reclamation	KEGG PATHWAY	hsa04964	2	23	0.436015504	0.768764177	AQP1|SLC4A4	http://www.genome.jp/kegg-bin/show_pathway?hsa04964/hsa:8671%09red/hsa:358%09red
Renal cell carcinoma	KEGG PATHWAY	hsa05211	5	69	0.439973612	0.770672732	BUB1B-PAK6|TGFB2|MET|EGLN3|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05211/hsa:56924%09red/hsa:7043%09red/hsa:112399%09red/hsa:4233%09red/hsa:7042%09red
Inflammatory mediator regulation of TRP channels	KEGG PATHWAY	hsa04750	7	101	0.449663904	0.773798719	IGF1|ASIC2|NTRK1|F2RL1|PTGER4|PLCB1|ASIC3	http://www.genome.jp/kegg-bin/show_pathway?hsa04750/hsa:9311%09red/hsa:4914%09red/hsa:3479%09red/hsa:23236%09red/hsa:2150%09red/hsa:40%09red/hsa:5734%09red
Retrograde endocannabinoid signaling	KEGG PATHWAY	hsa04723	7	101	0.449663904	0.773798719	CACNA1A|GABRA5|GNAO1|SLC17A7|GRIA1|PTGS2|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04723/hsa:773%09red/hsa:57030%09red/hsa:2775%09red/hsa:5743%09red/hsa:23236%09red/hsa:2890%09red/hsa:2558%09red
Alcoholism	KEGG PATHWAY	hsa05034	12	180	0.453866994	0.773798719	DRD1|SHC3|HIST1H2BD|GNAO1|GRIN2A|HIST1H2AC|SHC2|HIST1H3E|MAOB|HIST1H2BK|HIST1H3D|CAMK4	http://www.genome.jp/kegg-bin/show_pathway?hsa05034/hsa:1812%09red/hsa:25759%09red/hsa:2775%09red/hsa:8353%09red/hsa:814%09red/hsa:8351%09red/hsa:53358%09red/hsa:3017%09red/hsa:8334%09red/hsa:4129%09red/hsa:85236%09red/hsa:2903%09red
Renin-angiotensin system	KEGG PATHWAY	hsa04614	2	24	0.456194767	0.773798719	LNPEP|AGTR1	http://www.genome.jp/kegg-bin/show_pathway?hsa04614/hsa:4012%09red/hsa:185%09red
Histidine metabolism	KEGG PATHWAY	hsa00340	2	24	0.456194767	0.773798719	HNMT|MAOB	http://www.genome.jp/kegg-bin/show_pathway?hsa00340/hsa:3176%09red/hsa:4129%09red
Thyroid hormone synthesis	KEGG PATHWAY	hsa04918	5	71	0.463174164	0.775816725	TSHR|PLCB1|TTF2|GPX3|TG	http://www.genome.jp/kegg-bin/show_pathway?hsa04918/hsa:7253%09red/hsa:2878%09red/hsa:8458%09red/hsa:7038%09red/hsa:23236%09red
Antigen processing and presentation	KEGG PATHWAY	hsa04612	5	71	0.463174164	0.775816725	HLA-C|CTSS|HLA-F|HSPA6|HSPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa04612/hsa:3107%09red/hsa:3306%09red/hsa:3310%09red/hsa:1520%09red/hsa:3134%09red
Tryptophan metabolism	KEGG PATHWAY	hsa00380	3	40	0.466413453	0.776390096	AOX1|INMT|MAOB	http://www.genome.jp/kegg-bin/show_pathway?hsa00380/hsa:11185%09red/hsa:316%09red/hsa:4129%09red
Hepatitis C	KEGG PATHWAY	hsa05160	9	135	0.472287495	0.777771642	IFIT1|EGFR|IRF7|CXCL8|CLDN4|NR1H3|OAS1|PPP2R2C|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:5522%09red/hsa:3665%09red/hsa:1364%09red/hsa:10062%09red/hsa:3434%09red/hsa:3576%09red/hsa:4938%09red/hsa:1950%09red/hsa:1956%09red
Fatty acid elongation	KEGG PATHWAY	hsa00062	2	25	0.475949811	0.777771642	ELOVL2|ACOT7	http://www.genome.jp/kegg-bin/show_pathway?hsa00062/hsa:11332%09red/hsa:54898%09red
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG PATHWAY	hsa00534	2	25	0.475949811	0.777771642	HS3ST2|HS6ST2	http://www.genome.jp/kegg-bin/show_pathway?hsa00534/hsa:90161%09red/hsa:9956%09red
Leukocyte transendothelial migration	KEGG PATHWAY	hsa04670	8	120	0.479654192	0.779074687	THY1|ICAM1|ITGB2|CDH5|RASSF5|CLDN4|JAM2|VCAM1	http://www.genome.jp/kegg-bin/show_pathway?hsa04670/hsa:3689%09red/hsa:58494%09red/hsa:3383%09red/hsa:1364%09red/hsa:7070%09red/hsa:7412%09red/hsa:83593%09red/hsa:1003%09red
PPAR signaling pathway	KEGG PATHWAY	hsa03320	5	73	0.486080033	0.784141561	SLC27A1|GK|SORBS1|NR1H3|FABP5	http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:2710%09red/hsa:2171%09red/hsa:10062%09red/hsa:10580%09red/hsa:376497%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	hsa00592	2	26	0.495260897	0.784141561	PLA2G16|PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa00592/hsa:5320%09red/hsa:11145%09red
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	4	58	0.497265113	0.784141561	BIRC3|CCL2|IL6|CXCL8	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:6347%09red/hsa:3569%09red/hsa:330%09red/hsa:3576%09red
Adherens junction	KEGG PATHWAY	hsa04520	5	74	0.497403229	0.784141561	SORBS1|EGFR|MET|PTPRB|TCF7	http://www.genome.jp/kegg-bin/show_pathway?hsa04520/hsa:5787%09red/hsa:6932%09red/hsa:10580%09red/hsa:1956%09red/hsa:4233%09red
Prolactin signaling pathway	KEGG PATHWAY	hsa04917	5	74	0.497403229	0.784141561	FOS|SHC3|CCND1|PRLR|SHC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04917/hsa:25759%09red/hsa:595%09red/hsa:2353%09red/hsa:5618%09red/hsa:53358%09red
Tight junction	KEGG PATHWAY	hsa04530	9	139	0.505465094	0.792190907	PPP2R2C|MYH15|RAB3B|JAM2|CLDN4|HCLS1|SHROOM3|MYH7|TJP2	http://www.genome.jp/kegg-bin/show_pathway?hsa04530/hsa:5522%09red/hsa:58494%09red/hsa:57619%09red/hsa:1364%09red/hsa:3059%09red/hsa:4625%09red/hsa:5865%09red/hsa:22989%09red/hsa:9414%09red
Glycerolipid metabolism	KEGG PATHWAY	hsa00561	4	59	0.509934429	0.794548994	LIPC|GK|GPAT2|GPAT3	http://www.genome.jp/kegg-bin/show_pathway?hsa00561/hsa:150763%09red/hsa:2710%09red/hsa:84803%09red/hsa:3990%09red
